総額(万),家賃(万),管理費(円),物件名,間取り,面積,階,築年,構造,最寄り駅,徒歩(分),桜木町(分),路線,区,犯罪率(‰),所在地,敷/礼,バストイレ別,オートロック,エアコン,洗濯機置場,洗面台,モニタホン,宅配BOX,都市ガス,システムキッチン,IH,ガスコンロ可,物件ページ
4.5,4.0,5000,横浜市営地下鉄ブルーライン 吉野町駅 11階建 築33年,1R,16.98㎡,8,33,鉄骨鉄筋コンクリート,吉野町,5,8,ブルーライン,南区,3.93,神奈川県横浜市南区二葉町2,敷 4万円 / 礼 なし,,○,○,○,,○,○,○,,○,,https://realestate.yahoo.co.jp/rent/detail/_000001066082d7327b8ab7b4ea7b6d749f9bf1c85091/
4.5,4.0,5000,ポートハイム三春台,1R,14.28㎡,4,36,鉄筋コンクリート,吉野町,9,8,ブルーライン,南区,3.93,神奈川県横浜市南区三春台,敷 なし / 礼 なし,,,○,○,○,○,,,○,,○,https://realestate.yahoo.co.jp/rent/detail/000004050322af6a9f4f2cbf65acbea00a05b4593ee1/
4.5,4.0,5000,ホーユウコンフォルト白楽A棟,1R,16.38㎡,5,38,鉄筋コンクリート,三ツ沢下町,17,9,ブルーライン,神奈川区,4.71,神奈川県横浜市神奈川区六角橋4,敷 なし / 礼 なし,,,○,○,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/00000272187343483c010135c10dfca40c8bca66d762/
4.5,4.0,5000,塚平ビル,1R,10㎡,4,44,鉄骨,新子安,14,9,JR京浜東北・根岸線,神奈川区,4.71,神奈川県横浜市神奈川区大口通,敷 8万円 / 礼 4万円,,,○,,,,,○,,,○,https://realestate.yahoo.co.jp/rent/detail/000001618072ebbcb0f8f10a6e486a3c5c1667f07b22/
4.5,4.0,5000,京急本線 屏風浦駅 6階建 築36年,1R,16.2㎡,3,36,鉄筋コンクリート,磯子,12,13,JR京浜東北・根岸線,磯子区,4.36,神奈川県横浜市磯子区森3,敷 なし / 礼 なし,,○,○,○,,○,,○,○,,○,https://realestate.yahoo.co.jp/rent/detail/_000004385090cae8e9ebcdaaeca7780905549dc34113/
4.5,4.0,5000,ユニーブル保土ケ谷,1R,16.79㎡,4,35,鉄筋コンクリート,井土ケ谷,15,14,京急本線,南区,3.93,神奈川県横浜市保土ヶ谷区瀬戸ケ谷町,敷 なし / 礼 なし,,○,○,,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/0000088484673357f2482fb268fda8b6d4405fa3c13b/
4.5,4.0,5000,ユニーブル保土ヶ谷,1R,16.79㎡,4,36,鉄筋コンクリート,井土ケ谷,15,14,京急本線,南区,3.93,神奈川県横浜市保土ヶ谷区瀬戸ケ谷町,敷 なし / 礼 なし,,○,○,,,,,○,,○,○,https://realestate.yahoo.co.jp/rent/detail/0000014527733357f2482fb268fda8b6d4405fa3c13b/
4.5,4.0,5000,フレクション横浜保土ヶ谷,1R,16.2㎡,3,37,鉄筋コンクリート,天王町,20,14,相鉄本線,保土ケ谷区,3.99,神奈川県横浜市保土ヶ谷区岩井町,敷 なし / 礼 なし,,○,○,○,,,,,,,○,https://realestate.yahoo.co.jp/rent/detail/0000037302206678e1059176027b30dd99bba31ac8de/
4.5,4.0,5000,ライオンズマンション新杉田第2,1R,20.39㎡,5,45,鉄筋コンクリート,新杉田,6,16,JR京浜東北・根岸線,磯子区,4.36,神奈川県横浜市磯子区中原1,敷 4万円 / 礼 4万円,,,○,○,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/000001048337bd8babb0f83454339599bae11a693a02/
4.5,4.0,5000,ライオンズマンション新杉田第2,1R,20.39㎡,3,45,鉄筋コンクリート,新杉田,6,16,JR京浜東北・根岸線,磯子区,4.36,神奈川県横浜市磯子区中原1,敷 4万円 / 礼 4万円,,,○,○,,,,,,○,,https://realestate.yahoo.co.jp/rent/detail/000001048337bf0060b56ccd69db020b389543103038/
